I1028 12:35:14.737182       1 flags.go:52] FLAG: --address=":8085"
I1028 12:35:32.244686       1 reflector.go:123] Starting reflector *v1.StatefulSet (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:359
I1028 12:35:32.244726       1 reflector.go:161] Listing and watching *v1.StatefulSet from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:359
I1028 12:35:32.244411       1 reflector.go:123] Starting reflector *v1.Node (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:280
I1028 12:35:32.244824       1 reflector.go:161] Listing and watching *v1.Node from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:280
I1028 12:35:32.835997       1 factory.go:331] Creating scheduler from algorithm provider 'DefaultProvider'
I1028 12:35:32.836024       1 factory.go:412] Creating scheduler with fit predicates 'map[CheckNodeUnschedulable:{} CheckVolumeBinding:{} GeneralPredicates:{} MatchInterPodAffinity:{} MaxAzureDiskVolumeCount:{} MaxCSIVolumeCountPred:{} MaxEBSVolumeCount:{} MaxGCEPDVolumeCount:{} NoDiskConflict:{} NoVolumeZoneConflict:{} PodToleratesNodeTaints:{}]' and priority functions 'map[BalancedResourceAllocation:{} ImageLocalityPriority:{} InterPodAffinityPriority:{} LeastRequestedPriority:{} NodeAffinityPriority:{} NodePreferAvoidPodsPriority:{} SelectorSpreadPriority:{} TaintTolerationPriority:{}]'
I1028 12:35:32.836368       1 predicates.go:168] Using predicate PodFitsResources
I1028 12:35:32.836380       1 predicates.go:168] Using predicate GeneralPredicates
I1028 12:35:32.836385       1 predicates.go:168] Using predicate PodToleratesNodeTaints
I1028 12:35:32.836444       1 predicates.go:168] Using predicate NoVolumeZoneConflict
I1028 12:35:32.836455       1 predicates.go:168] Using predicate MaxAzureDiskVolumeCount
I1028 12:35:32.836505       1 predicates.go:168] Using predicate ready
I1028 12:35:32.836516       1 predicates.go:168] Using predicate CheckVolumeBinding
I1028 12:35:32.836521       1 predicates.go:168] Using predicate MaxGCEPDVolumeCount
I1028 12:35:32.836559       1 predicates.go:168] Using predicate NoDiskConflict
I1028 12:35:32.836571       1 predicates.go:168] Using predicate CheckNodeUnschedulable
I1028 12:35:32.836577       1 predicates.go:168] Using predicate MatchInterPodAffinity
I1028 12:35:32.836619       1 predicates.go:168] Using predicate MaxCSIVolumeCountPred
I1028 12:35:32.836630       1 predicates.go:168] Using predicate MaxEBSVolumeCount
I1028 12:35:32.836686       1 cloud_provider_builder.go:29] Building aws cloud provider.
I1028 12:35:32.837437       1 reflector.go:123] Starting reflector *v1.Pod (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.837456       1 reflector.go:161] Listing and watching *v1.Pod from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.837754       1 reflector.go:123] Starting reflector *v1.StorageClass (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.837767       1 reflector.go:161] Listing and watching *v1.StorageClass from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.838125       1 reflector.go:123] Starting reflector *v1.PersistentVolume (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.838209       1 reflector.go:161] Listing and watching *v1.PersistentVolume from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.838565       1 reflector.go:123] Starting reflector *v1.PersistentVolumeClaim (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.838648       1 reflector.go:161] Listing and watching *v1.PersistentVolumeClaim from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.839037       1 reflector.go:123] Starting reflector *v1.Service (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.839129       1 reflector.go:161] Listing and watching *v1.Service from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.938573       1 reflector.go:123] Starting reflector *v1.ReplicationController (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.938598       1 reflector.go:161] Listing and watching *v1.ReplicationController from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.938910       1 reflector.go:123] Starting reflector *v1.ReplicaSet (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.938925       1 reflector.go:161] Listing and watching *v1.ReplicaSet from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.939147       1 reflector.go:123] Starting reflector *v1beta1.PodDisruptionBudget (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:32.939159       1 reflector.go:161] Listing and watching *v1beta1.PodDisruptionBudget from k8s.io/client-go/informers/factory.go:132
I1028 12:35:33.034967       1 reflector.go:123] Starting reflector *v1.StatefulSet (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:33.034992       1 reflector.go:161] Listing and watching *v1.StatefulSet from k8s.io/client-go/informers/factory.go:132
I1028 12:35:33.035349       1 reflector.go:123] Starting reflector *v1.Node (0s) from k8s.io/client-go/informers/factory.go:132
I1028 12:35:33.035358       1 reflector.go:161] Listing and watching *v1.Node from k8s.io/client-go/informers/factory.go:132
I1028 12:35:33.037392       1 auto_scaling_groups.go:138] Registering ASG eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT
I1028 12:35:33.037402       1 auto_scaling_groups.go:138] Registering ASG eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J
I1028 12:35:33.037409       1 auto_scaling_groups.go:354] Regenerating instance to ASG map for ASGs: [eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J]
I1028 12:35:34.086022       1 auto_scaling_groups.go:116] Updating ASG eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J
I1028 12:35:34.086047       1 auto_scaling_groups.go:116] Updating ASG eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT
I1028 12:35:34.086054       1 aws_manager.go:263] Refreshed ASG list, next refresh after 2020-10-28 12:36:34.086051082 +0000 UTC m=+79.477234763
I1028 12:35:34.086184       1 main.go:264] Registered cleanup signal handler
I1028 12:35:34.086201       1 reflector.go:123] Starting reflector *v1.ConfigMap (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:370
I1028 12:35:34.086216       1 reflector.go:161] Listing and watching *v1.ConfigMap from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:370
I1028 12:35:44.086343       1 static_autoscaler.go:147] Starting main loop
W1028 12:35:44.086423       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT"; using us-east-1b
W1028 12:35:44.086945       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J"; using us-east-1b
I1028 12:35:44.087295       1 utils.go:626] No pod using affinity / antiaffinity found in cluster, disabling affinity predicate for this loop
I1028 12:35:44.087313       1 static_autoscaler.go:303] Filtering out schedulables
I1028 12:35:44.087357       1 static_autoscaler.go:320] No schedulable pods
I1028 12:35:44.087372       1 static_autoscaler.go:328] No unschedulable pods
I1028 12:35:44.087383       1 static_autoscaler.go:375] Calculating unneeded nodes
I1028 12:35:44.087396       1 utils.go:574] Skipping ip-192-168-122-52.ec2.internal - no node group config
I1028 12:35:44.087447       1 static_autoscaler.go:402] Scale down status: unneededOnly=true lastScaleUpTime=2020-10-28 12:35:34.086115792 +0000 UTC m=+19.477299461 lastScaleDownDeleteTime=2020-10-28 12:35:34.086115887 +0000 UTC m=+19.477299557 lastScaleDownFailTime=2020-10-28 12:35:34.086115968 +0000 UTC m=+19.477299642 scaleDownForbidden=false isDeleteInProgress=false
I1028 12:35:54.096517       1 static_autoscaler.go:147] Starting main loop
W1028 12:35:54.096609       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT"; using us-east-1b
W1028 12:35:54.097015       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J"; using us-east-1b
I1028 12:35:54.097356       1 utils.go:626] No pod using affinity / antiaffinity found in cluster, disabling affinity predicate for this loop
I1028 12:35:54.097374       1 static_autoscaler.go:303] Filtering out schedulables
I1028 12:35:54.097415       1 static_autoscaler.go:320] No schedulable pods
I1028 12:35:54.097432       1 static_autoscaler.go:328] No unschedulable pods
I1028 12:35:54.097444       1 static_autoscaler.go:375] Calculating unneeded nodes
I1028 12:35:54.097455       1 utils.go:574] Skipping ip-192-168-122-52.ec2.internal - no node group config
I1028 12:35:54.097507       1 static_autoscaler.go:402] Scale down status: unneededOnly=true lastScaleUpTime=2020-10-28 12:35:34.086115792 +0000 UTC m=+19.477299461 lastScaleDownDeleteTime=2020-10-28 12:35:34.086115887 +0000 UTC m=+19.477299557 lastScaleDownFailTime=2020-10-28 12:35:34.086115968 +0000 UTC m=+19.477299642 scaleDownForbidden=false isDeleteInProgress=false
I1028 12:36:04.106679       1 static_autoscaler.go:147] Starting main loop
W1028 12:36:04.106762       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT"; using us-east-1b
W1028 12:36:04.107167       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J"; using us-east-1b
I1028 12:36:04.107545       1 utils.go:626] No pod using affinity / antiaffinity found in cluster, disabling affinity predicate for this loop
I1028 12:36:04.107563       1 static_autoscaler.go:303] Filtering out schedulables
I1028 12:36:04.107605       1 static_autoscaler.go:320] No schedulable pods
I1028 12:36:04.107621       1 static_autoscaler.go:328] No unschedulable pods
I1028 12:36:04.107633       1 static_autoscaler.go:375] Calculating unneeded nodes
I1028 12:36:04.107646       1 utils.go:574] Skipping ip-192-168-122-52.ec2.internal - no node group config
I1028 12:36:04.107695       1 static_autoscaler.go:402] Scale down status: unneededOnly=true lastScaleUpTime=2020-10-28 12:35:34.086115792 +0000 UTC m=+19.477299461 lastScaleDownDeleteTime=2020-10-28 12:35:34.086115887 +0000 UTC m=+19.477299557 lastScaleDownFailTime=2020-10-28 12:35:34.086115968 +0000 UTC m=+19.477299642 scaleDownForbidden=false isDeleteInProgress=false
I1028 12:36:14.116727       1 static_autoscaler.go:147] Starting main loop
W1028 12:36:14.116795       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT"; using us-east-1b
W1028 12:36:14.117219       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J"; using us-east-1b
I1028 12:36:14.117565       1 utils.go:626] No pod using affinity / antiaffinity found in cluster, disabling affinity predicate for this loop
I1028 12:36:14.117583       1 static_autoscaler.go:303] Filtering out schedulables
I1028 12:36:14.117624       1 static_autoscaler.go:320] No schedulable pods
I1028 12:36:14.117637       1 static_autoscaler.go:328] No unschedulable pods
I1028 12:36:14.117650       1 static_autoscaler.go:375] Calculating unneeded nodes
I1028 12:36:14.117663       1 utils.go:574] Skipping ip-192-168-122-52.ec2.internal - no node group config
I1028 12:36:14.117712       1 static_autoscaler.go:402] Scale down status: unneededOnly=true lastScaleUpTime=2020-10-28 12:35:34.086115792 +0000 UTC m=+19.477299461 lastScaleDownDeleteTime=2020-10-28 12:35:34.086115887 +0000 UTC m=+19.477299557 lastScaleDownFailTime=2020-10-28 12:35:34.086115968 +0000 UTC m=+19.477299642 scaleDownForbidden=false isDeleteInProgress=false
I1028 12:36:24.126935       1 static_autoscaler.go:147] Starting main loop
W1028 12:36:24.127012       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT"; using us-east-1b
W1028 12:36:24.128154       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J"; using us-east-1b
I1028 12:36:24.129261       1 utils.go:626] No pod using affinity / antiaffinity found in cluster, disabling affinity predicate for this loop
I1028 12:36:24.129279       1 static_autoscaler.go:303] Filtering out schedulables
I1028 12:36:24.129334       1 static_autoscaler.go:320] No schedulable pods
I1028 12:36:24.129351       1 static_autoscaler.go:328] No unschedulable pods
I1028 12:36:24.129363       1 static_autoscaler.go:375] Calculating unneeded nodes
I1028 12:36:24.129375       1 utils.go:574] Skipping ip-192-168-122-52.ec2.internal - no node group config
I1028 12:36:24.129444       1 static_autoscaler.go:402] Scale down status: unneededOnly=true lastScaleUpTime=2020-10-28 12:35:34.086115792 +0000 UTC m=+19.477299461 lastScaleDownDeleteTime=2020-10-28 12:35:34.086115887 +0000 UTC m=+19.477299557 lastScaleDownFailTime=2020-10-28 12:35:34.086115968 +0000 UTC m=+19.477299642 scaleDownForbidden=false isDeleteInProgress=false
I1028 12:36:34.140474       1 static_autoscaler.go:147] Starting main loop
I1028 12:36:34.140530       1 auto_scaling_groups.go:354] Regenerating instance to ASG map for ASGs: [eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT]
I1028 12:36:34.229741       1 aws_manager.go:263] Refreshed ASG list, next refresh after 2020-10-28 12:37:34.229733824 +0000 UTC m=+139.620917515
W1028 12:36:34.229791       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT"; using us-east-1b
W1028 12:36:34.230233       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J"; using us-east-1b
I1028 12:36:34.230612       1 utils.go:626] No pod using affinity / antiaffinity found in cluster, disabling affinity predicate for this loop
I1028 12:36:34.230630       1 static_autoscaler.go:303] Filtering out schedulables
I1028 12:36:34.230674       1 static_autoscaler.go:320] No schedulable pods
I1028 12:36:34.230691       1 static_autoscaler.go:328] No unschedulable pods
I1028 12:36:34.230702       1 static_autoscaler.go:375] Calculating unneeded nodes
I1028 12:36:34.230714       1 utils.go:574] Skipping ip-192-168-122-52.ec2.internal - no node group config
I1028 12:36:34.230788       1 static_autoscaler.go:402] Scale down status: unneededOnly=true lastScaleUpTime=2020-10-28 12:35:34.086115792 +0000 UTC m=+19.477299461 lastScaleDownDeleteTime=2020-10-28 12:35:34.086115887 +0000 UTC m=+19.477299557 lastScaleDownFailTime=2020-10-28 12:35:34.086115968 +0000 UTC m=+19.477299642 scaleDownForbidden=false isDeleteInProgress=false
I1028 12:36:44.240082       1 static_autoscaler.go:147] Starting main loop
W1028 12:36:44.240154       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT"; using us-east-1b
W1028 12:36:44.240630       1 aws_manager.go:309] Found multiple availability zones for ASG "eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J"; using us-east-1b
I1028 12:36:44.241093       1 utils.go:626] No pod using affinity / antiaffinity found in cluster, disabling affinity predicate for this loop
I1028 12:36:44.241109       1 static_autoscaler.go:303] Filtering out schedulables
I1028 12:36:44.241149       1 static_autoscaler.go:320] No schedulable pods
I1028 12:36:44.241163       1 static_autoscaler.go:328] No unschedulable pods
I1028 12:36:44.241175       1 static_autoscaler.go:375] Calculating unneeded nodes
I1028 12:36:44.241189       1 utils.go:574] Skipping ip-192-168-122-52.ec2.internal - no node group config
